"","subject","activity","tBodyAcc-mean()-X.mn","tBodyAcc-mean()-X.n","tBodyAcc-mean()-Y.mn","tBodyAcc-mean()-Y.n","tBodyAcc-mean()-Z.mn","tBodyAcc-mean()-Z.n","tBodyAcc-std()-X.mn","tBodyAcc-std()-X.n","tBodyAcc-std()-Y.mn","tBodyAcc-std()-Y.n","tBodyAcc-std()-Z.mn","tBodyAcc-std()-Z.n","tGravityAcc-mean()-X.mn","tGravityAcc-mean()-X.n","tGravityAcc-mean()-Y.mn","tGravityAcc-mean()-Y.n","tGravityAcc-mean()-Z.mn","tGravityAcc-mean()-Z.n","tGravityAcc-std()-X.mn","tGravityAcc-std()-X.n","tGravityAcc-std()-Y.mn","tGravityAcc-std()-Y.n","tGravityAcc-std()-Z.mn","tGravityAcc-std()-Z.n","tBodyAccJerk-mean()-X.mn","tBodyAccJerk-mean()-X.n","tBodyAccJerk-mean()-Y.mn","tBodyAccJerk-mean()-Y.n","tBodyAccJerk-mean()-Z.mn","tBodyAccJerk-mean()-Z.n","tBodyAccJerk-std()-X.mn","tBodyAccJerk-std()-X.n","tBodyAccJerk-std()-Y.mn","tBodyAccJerk-std()-Y.n","tBodyAccJerk-std()-Z.mn","tBodyAccJerk-std()-Z.n","tBodyGyro-mean()-X.mn","tBodyGyro-mean()-X.n","tBodyGyro-mean()-Y.mn","tBodyGyro-mean()-Y.n","tBodyGyro-mean()-Z.mn","tBodyGyro-mean()-Z.n","tBodyGyro-std()-X.mn","tBodyGyro-std()-X.n","tBodyGyro-std()-Y.mn","tBodyGyro-std()-Y.n","tBodyGyro-std()-Z.mn","tBodyGyro-std()-Z.n","tBodyGyroJerk-mean()-X.mn","tBodyGyroJerk-mean()-X.n","tBodyGyroJerk-mean()-Y.mn","tBodyGyroJerk-mean()-Y.n","tBodyGyroJerk-mean()-Z.mn","tBodyGyroJerk-mean()-Z.n","tBodyGyroJerk-std()-X.mn","tBodyGyroJerk-std()-X.n","tBodyGyroJerk-std()-Y.mn","tBodyGyroJerk-std()-Y.n","tBodyGyroJerk-std()-Z.mn","tBodyGyroJerk-std()-Z.n","tBodyAccMag-mean().mn","tBodyAccMag-mean().n","tBodyAccMag-std().mn","tBodyAccMag-std().n","tGravityAccMag-mean().mn","tGravityAccMag-mean().n","tGravityAccMag-std().mn","tGravityAccMag-std().n","tBodyAccJerkMag-mean().mn","tBodyAccJerkMag-mean().n","tBodyAccJerkMag-std().mn","tBodyAccJerkMag-std().n","tBodyGyroMag-mean().mn","tBodyGyroMag-mean().n","tBodyGyroMag-std().mn","tBodyGyroMag-std().n","tBodyGyroJerkMag-mean().mn","tBodyGyroJerkMag-mean().n","tBodyGyroJerkMag-std().mn","tBodyGyroJerkMag-std().n","fBodyAcc-mean()-X.mn","fBodyAcc-mean()-X.n","fBodyAcc-mean()-Y.mn","fBodyAcc-mean()-Y.n","fBodyAcc-mean()-Z.mn","fBodyAcc-mean()-Z.n","fBodyAcc-std()-X.mn","fBodyAcc-std()-X.n","fBodyAcc-std()-Y.mn","fBodyAcc-std()-Y.n","fBodyAcc-std()-Z.mn","fBodyAcc-std()-Z.n","fBodyAccJerk-mean()-X.mn","fBodyAccJerk-mean()-X.n","fBodyAccJerk-mean()-Y.mn","fBodyAccJerk-mean()-Y.n","fBodyAccJerk-mean()-Z.mn","fBodyAccJerk-mean()-Z.n","fBodyAccJerk-std()-X.mn","fBodyAccJerk-std()-X.n","fBodyAccJerk-std()-Y.mn","fBodyAccJerk-std()-Y.n","fBodyAccJerk-std()-Z.mn","fBodyAccJerk-std()-Z.n","fBodyGyro-mean()-X.mn","fBodyGyro-mean()-X.n","fBodyGyro-mean()-Y.mn","fBodyGyro-mean()-Y.n","fBodyGyro-mean()-Z.mn","fBodyGyro-mean()-Z.n","fBodyGyro-std()-X.mn","fBodyGyro-std()-X.n","fBodyGyro-std()-Y.mn","fBodyGyro-std()-Y.n","fBodyGyro-std()-Z.mn","fBodyGyro-std()-Z.n","fBodyAccMag-mean().mn","fBodyAccMag-mean().n","fBodyAccMag-std().mn","fBodyAccMag-std().n","fBodyBodyAccJerkMag-mean().mn","fBodyBodyAccJerkMag-mean().n","fBodyBodyAccJerkMag-std().mn","fBodyBodyAccJerkMag-std().n","fBodyBodyGyroMag-mean().mn","fBodyBodyGyroMag-mean().n","fBodyBodyGyroMag-std().mn","fBodyBodyGyroMag-std().n","fBodyBodyGyroJerkMag-mean().mn","fBodyBodyGyroJerkMag-mean().n","fBodyBodyGyroJerkMag-std().mn","fBodyBodyGyroJerkMag-std().n"
"11",16,"SITTING",  0.2778874,366.0000000, -0.01585679,366.00000000, -0.10726392,366.00000000, -0.6681615,366.0000000, -0.64994707,366.00000000, -0.6038199,366.0000000,  0.7009061,366.0000000, -0.06052360,366.00000000,  0.04020755,366.00000000, -0.9711564,366.0000000, -0.9647275,366.0000000, -0.9452940,366.0000000,  0.07754889,366.00000000, 8.840183e-03, 3.660000e+02,-1.437300e-03, 3.660000e+02, -0.7278617,366.0000000, -0.7350802,366.0000000, -0.7678730,366.0000000,-1.223414e-02, 3.660000e+02, -0.07244448,366.00000000,  0.07301447,366.00000000, -0.7995345,366.0000000, -0.81012413,366.00000000, -0.7376300,366.0000000, -0.10736161,366.00000000, -0.04166157,366.00000000, -0.05394704,366.00000000, -0.8582987,366.0000000, -0.8695731,366.0000000, -0.8370399,366.0000000, -0.6161311,366.0000000, -0.6617197,366.0000000, -0.6161311,366.0000000, -0.6617197,366.0000000, -0.7252469,366.0000000, -0.7196470,366.0000000, -0.71816878,366.00000000, -0.7848229,366.0000000, -0.8604464,366.0000000, -0.8748002,366.0000000, -0.7008851,366.0000000, -0.67157215,366.00000000, -0.6609899,366.0000000, -0.6569690,366.0000000, -0.66184453,366.00000000, -0.6056467,366.0000000, -0.7446620,366.0000000, -0.7486270,366.0000000, -0.7523022,366.0000000, -0.7347767,366.0000000, -0.7384344,366.0000000, -0.7820895,366.0000000, -0.7897801,366.0000000, -0.8159621,366.0000000, -0.7562866,366.0000000, -0.8049918,366.0000000, -0.80942145,366.00000000, -0.7569936,366.0000000, -0.66696251,366.00000000, -0.7126810,366.0000000, -0.7131676,366.0000000, -0.7298694,366.0000000, -0.8171288,366.0000000, -0.8020782,366.0000000, -0.8727723,366.0000000, -0.8865332,366.0000000
"12",17,"SITTING",  0.2736376,265.0000000, -0.01706347,265.00000000, -0.11002037,265.00000000, -0.7266043,265.0000000, -0.69873479,265.00000000, -0.7107650,265.0000000,  0.7306435,265.0000000, -0.01025395,265.00000000, -0.04715626,265.00000000, -0.9741880,265.0000000, -0.9606802,265.0000000, -0.9514245,265.0000000,  0.08269047,265.00000000, 1.016531e-02, 2.650000e+02,-3.193855e-03, 2.650000e+02, -0.7722422,265.0000000, -0.7578041,265.0000000, -0.8471387,265.0000000,-1.958462e-02, 2.650000e+02, -0.07888306,265.00000000,  0.07959357,265.00000000, -0.8414583,265.0000000, -0.80971843,265.00000000, -0.8037628,265.0000000, -0.10349135,265.00000000, -0.04043913,265.00000000, -0.05271081,265.00000000, -0.8639128,265.0000000, -0.8393395,265.0000000, -0.8712644,265.0000000, -0.6864768,265.0000000, -0.7348662,265.0000000, -0.6864768,265.0000000, -0.7348662,265.0000000, -0.7757606,265.0000000, -0.7736782,265.0000000, -0.76467575,265.00000000, -0.8280391,265.0000000, -0.8497862,265.0000000, -0.8538862,265.0000000, -0.7531374,265.0000000, -0.71776713,265.00000000, -0.7681887,265.0000000, -0.7172464,265.0000000, -0.70778700,265.00000000, -0.7035350,265.0000000, -0.7953817,265.0000000, -0.7815663,265.0000000, -0.8415470,265.0000000, -0.7690887,265.0000000, -0.7488492,265.0000000, -0.8513997,265.0000000, -0.8240271,265.0000000, -0.8114625,265.0000000, -0.8111197,265.0000000, -0.8480301,265.0000000, -0.81033747,265.00000000, -0.8197700,265.0000000, -0.74066705,265.00000000, -0.7732377,265.0000000, -0.7745714,265.0000000, -0.7742958,265.0000000, -0.8313504,265.0000000, -0.8578340,265.0000000, -0.8582273,265.0000000, -0.8597866,265.0000000
"13",17,"STANDING",  0.2750380,103.0000000, -0.01877174,103.00000000, -0.10708881,103.00000000, -0.3044796,103.0000000, -0.22808969,103.00000000, -0.5314730,103.0000000,  0.6173634,103.0000000, -0.02269002,103.00000000,  0.05807036,103.00000000, -0.9655548,103.0000000, -0.9539986,103.0000000, -0.9429024,103.0000000,  0.07810150,103.00000000, 4.177930e-03, 1.030000e+02, 1.787409e-02, 1.030000e+02, -0.4519782,103.0000000, -0.4394295,103.0000000, -0.7263806,103.0000000,-2.020654e-03, 1.030000e+02, -0.09255933,103.00000000,  0.07041677,103.00000000, -0.5468897,103.0000000, -0.64947268,103.00000000, -0.5071414,103.0000000, -0.11907891,103.00000000, -0.03591171,103.00000000, -0.04606122,103.00000000, -0.5940765,103.0000000, -0.7916395,103.0000000, -0.6461302,103.0000000, -0.2644931,103.0000000, -0.3819017,103.0000000, -0.2644931,103.0000000, -0.3819017,103.0000000, -0.4924528,103.0000000, -0.4888111,103.0000000, -0.44851507,103.00000000, -0.5497387,103.0000000, -0.7092032,103.0000000, -0.7515957,103.0000000, -0.3910077,103.0000000, -0.30322851,103.00000000, -0.5922586,103.0000000, -0.2751597,103.0000000, -0.24025928,103.00000000, -0.5359268,103.0000000, -0.5142008,103.0000000, -0.4714051,103.0000000, -0.7021421,103.0000000, -0.4384468,103.0000000, -0.4426918,103.0000000, -0.7492245,103.0000000, -0.4834782,103.0000000, -0.6802786,103.0000000, -0.5100676,103.0000000, -0.5694475,103.0000000, -0.63526154,103.00000000, -0.5529932,103.0000000, -0.40311496,103.00000000, -0.4670446,103.0000000, -0.4994794,103.0000000, -0.4823967,103.0000000, -0.6103651,103.0000000, -0.5877237,103.0000000, -0.7542482,103.0000000, -0.7665877,103.0000000
"14",19,"STANDING",  0.2697235,360.0000000, -0.01820315,360.00000000, -0.11827718,360.00000000, -0.5746589,360.0000000, -0.50703508,360.00000000, -0.6491847,360.0000000,  0.4753230,360.0000000,  0.09640526,360.00000000,  0.23301140,360.00000000, -0.9582904,360.0000000, -0.9592538,360.0000000, -0.9418003,360.0000000,  0.07741711,360.00000000, 1.158124e-02, 3.600000e+02,-1.861989e-03, 3.600000e+02, -0.5710883,360.0000000, -0.5713112,360.0000000, -0.7053430,360.0000000,-3.857240e-02, 3.600000e+02, -0.06814206,360.00000000,  0.08836096,360.00000000, -0.6377899,360.0000000, -0.64386630,360.00000000, -0.6456822,360.0000000, -0.08959394,360.00000000, -0.03832087,360.00000000, -0.05696494,360.00000000, -0.6188362,360.0000000, -0.7259914,360.0000000, -0.6866846,360.0000000, -0.5315074,360.0000000, -0.5995528,360.0000000, -0.5315074,360.0000000, -0.5995528,360.0000000, -0.5762252,360.0000000, -0.6019186,360.0000000, -0.54891967,360.00000000, -0.6100934,360.0000000, -0.6834365,360.0000000, -0.7255987,360.0000000, -0.5870504,360.0000000, -0.52188808,360.00000000, -0.6470263,360.0000000, -0.5708980,360.0000000, -0.53090159,360.00000000, -0.6802914,360.0000000, -0.5931572,360.0000000, -0.5966949,360.0000000, -0.6809245,360.0000000, -0.5869101,360.0000000, -0.5725967,360.0000000, -0.7285219,360.0000000, -0.5530896,360.0000000, -0.6413373,360.0000000, -0.6026253,360.0000000, -0.6660713,360.0000000, -0.65010540,360.00000000, -0.6947291,360.0000000, -0.55640444,360.00000000, -0.6898609,360.0000000, -0.5760646,360.0000000, -0.6410890,360.0000000, -0.6362880,360.0000000, -0.6623260,360.0000000, -0.7195190,360.0000000, -0.7542237,360.0000000
"15",21,"STANDING",  0.2774665,408.0000000, -0.01766646,408.00000000, -0.10877848,408.00000000, -0.6723239,408.0000000, -0.56558519,408.00000000, -0.6696218,408.0000000,  0.6457760,408.0000000, -0.07509631,408.00000000,  0.03218518,408.00000000, -0.9655866,408.0000000, -0.9693308,408.0000000, -0.9530940,408.0000000,  0.08222079,408.00000000, 3.501076e-03, 4.080000e+02,-1.065907e-02, 4.080000e+02, -0.6997633,408.0000000, -0.6651591,408.0000000, -0.7818239,408.0000000,-2.763466e-02, 4.080000e+02, -0.07847197,408.00000000,  0.08612127,408.00000000, -0.7961723,408.0000000, -0.76505776,408.00000000, -0.7016420,408.0000000, -0.10055832,408.00000000, -0.04082361,408.00000000, -0.05338610,408.00000000, -0.7924832,408.0000000, -0.8158593,408.0000000, -0.8120173,408.0000000, -0.6203093,408.0000000, -0.6601960,408.0000000, -0.6203093,408.0000000, -0.6601960,408.0000000, -0.7034613,408.0000000, -0.6800692,408.0000000, -0.69377922,408.00000000, -0.7613031,408.0000000, -0.8078174,408.0000000, -0.8240899,408.0000000, -0.6934861,408.0000000, -0.59377821,408.00000000, -0.7077138,408.0000000, -0.6653497,408.0000000, -0.57874859,408.00000000, -0.6755882,408.0000000, -0.7164141,408.0000000, -0.6786151,408.0000000, -0.7673520,408.0000000, -0.7098007,408.0000000, -0.6741024,408.0000000, -0.7949228,408.0000000, -0.7520408,408.0000000, -0.7593257,408.0000000, -0.7094714,408.0000000, -0.8110267,408.0000000, -0.77138832,408.00000000, -0.7283193,408.0000000, -0.65866472,408.00000000, -0.7143457,408.0000000, -0.6797426,408.0000000, -0.6837251,408.0000000, -0.7764731,408.0000000, -0.7931585,408.0000000, -0.8262750,408.0000000, -0.8349499,408.0000000
"16",22,"STANDING",  0.2747677,321.0000000, -0.01682736,321.00000000, -0.10867038,321.00000000, -0.5460900,321.0000000, -0.49118843,321.00000000, -0.6550897,321.0000000,  0.6093909,321.0000000,  0.03150987,321.00000000,  0.23588786,321.00000000, -0.9585045,321.0000000, -0.9573231,321.0000000, -0.9390810,321.0000000,  0.07910311,321.00000000, 1.525725e-02, 3.210000e+02,-7.228733e-03, 3.210000e+02, -0.5849638,321.0000000, -0.5604701,321.0000000, -0.7604684,321.0000000,-8.006306e-03, 3.210000e+02, -0.09496611,321.00000000,  0.08124066,321.00000000, -0.6959192,321.0000000, -0.78405228,321.00000000, -0.6544580,321.0000000, -0.10925756,321.00000000, -0.03846162,321.00000000, -0.05821443,321.00000000, -0.7088987,321.0000000, -0.8599244,321.0000000, -0.7422728,321.0000000, -0.5040992,321.0000000, -0.5959539,321.0000000, -0.5040992,321.0000000, -0.5959539,321.0000000, -0.6097728,321.0000000, -0.5898231,321.0000000, -0.63766611,321.00000000, -0.6763786,321.0000000, -0.7946813,321.0000000, -0.8264934,321.0000000, -0.5949297,321.0000000, -0.50817278,321.00000000, -0.6873210,321.0000000, -0.5289588,321.0000000, -0.51558097,321.00000000, -0.6655170,321.0000000, -0.6042532,321.0000000, -0.5743181,321.0000000, -0.7397018,321.0000000, -0.6024580,321.0000000, -0.5763918,321.0000000, -0.7802527,321.0000000, -0.6395757,321.0000000, -0.7913997,321.0000000, -0.6433633,321.0000000, -0.7149779,321.0000000, -0.78204608,321.00000000, -0.6906794,321.0000000, -0.57433316,321.00000000, -0.6738962,321.0000000, -0.5854425,321.0000000, -0.5992869,321.0000000, -0.7281668,321.0000000, -0.6996001,321.0000000, -0.8301920,321.0000000, -0.8355972,321.0000000
"17",23,"STANDING",  0.2734933,372.0000000, -0.01958926,372.00000000, -0.10909398,372.00000000, -0.6225940,372.0000000, -0.53207855,372.00000000, -0.4505572,372.0000000,  0.6623247,372.0000000,  0.01462092,372.00000000,  0.05186625,372.00000000, -0.9643930,372.0000000, -0.9603189,372.0000000, -0.9342361,372.0000000,  0.07785882,372.00000000, 2.004710e-02, 3.720000e+02,-7.176809e-04, 3.720000e+02, -0.6081838,372.0000000, -0.6189812,372.0000000, -0.6030488,372.0000000,-2.208904e-02, 3.720000e+02, -0.08259730,372.00000000,  0.07469494,372.00000000, -0.7557386,372.0000000, -0.50033819,372.00000000, -0.6096835,372.0000000, -0.09669907,372.00000000, -0.04327227,372.00000000, -0.06219591,372.00000000, -0.7286921,372.0000000, -0.5460436,372.0000000, -0.7405181,372.0000000, -0.5327548,372.0000000, -0.5655756,372.0000000, -0.5327548,372.0000000, -0.5655756,372.0000000, -0.5864007,372.0000000, -0.5587253,372.0000000, -0.54420796,372.00000000, -0.5419491,372.0000000, -0.6234126,372.0000000, -0.5739429,372.0000000, -0.5990809,372.0000000, -0.54848321,372.00000000, -0.4902128,372.0000000, -0.6338391,372.0000000, -0.55447168,372.00000000, -0.4747675,372.0000000, -0.6175218,372.0000000, -0.6282313,372.0000000, -0.5788708,372.0000000, -0.6350544,372.0000000, -0.6369776,372.0000000, -0.6275404,372.0000000, -0.6851365,372.0000000, -0.4977838,372.0000000, -0.6176854,372.0000000, -0.7791971,372.0000000, -0.50785055,372.00000000, -0.6441310,372.0000000, -0.52902928,372.00000000, -0.6570489,372.0000000, -0.5426633,372.0000000, -0.5838323,372.0000000, -0.5346572,372.0000000, -0.6322885,372.0000000, -0.5841110,372.0000000, -0.5937353,372.0000000
"18",25,"STANDING",  0.2740699,342.0000000, -0.01854405,342.00000000, -0.10929328,342.00000000, -0.7871374,342.0000000, -0.61161417,342.00000000, -0.7036208,342.0000000,  0.6175677,342.0000000,  0.08806835,342.00000000,  0.27694723,342.00000000, -0.9465977,342.0000000, -0.8925777,342.0000000, -0.8744297,342.0000000,  0.07735478,342.00000000, 7.940058e-03, 3.420000e+02,-9.279542e-03, 3.420000e+02, -0.8450003,342.0000000, -0.7780384,342.0000000, -0.8861755,342.0000000,-1.230490e-02, 3.420000e+02, -0.07786164,342.00000000,  0.10227904,342.00000000, -0.7479386,342.0000000, -0.81201447,342.00000000, -0.7968016,342.0000000, -0.10695681,342.00000000, -0.03917812,342.00000000, -0.05586153,342.00000000, -0.8196459,342.0000000, -0.9237643,342.0000000, -0.8690131,342.0000000, -0.6500830,342.0000000, -0.7184455,342.0000000, -0.6500830,342.0000000, -0.7184455,342.0000000, -0.8301689,342.0000000, -0.8269018,342.0000000, -0.70231603,342.00000000, -0.7508135,342.0000000, -0.8823027,342.0000000, -0.9021277,342.0000000, -0.8096142,342.0000000, -0.67306738,342.00000000, -0.7781295,342.0000000, -0.7794804,342.0000000, -0.60789635,342.00000000, -0.6903356,342.0000000, -0.8513281,342.0000000, -0.7921661,342.0000000, -0.8770559,342.0000000, -0.8524421,342.0000000, -0.7778264,342.0000000, -0.8939688,342.0000000, -0.7434070,342.0000000, -0.8557435,342.0000000, -0.7972827,342.0000000, -0.7527216,342.0000000, -0.79129412,342.00000000, -0.8156814,342.0000000, -0.75637282,342.00000000, -0.7450135,342.0000000, -0.8281893,342.0000000, -0.8260063,342.0000000, -0.8074441,342.0000000, -0.7594517,342.0000000, -0.9053917,342.0000000, -0.9048194,342.0000000
"19", 2,"WALKING",  0.2731131,302.0000000, -0.01913232,302.00000000, -0.11564996,302.00000000, -0.6055865,302.0000000, -0.42896299,302.00000000, -0.5893601,302.0000000,  0.6607829,302.0000000, -0.14721989,302.00000000,  0.13486534,302.00000000, -0.9630155,302.0000000, -0.9600336,302.0000000, -0.9453654,302.0000000,  0.07853532,302.00000000, 7.087712e-03, 3.020000e+02, 7.557607e-04, 3.020000e+02, -0.5578096,302.0000000, -0.4918759,302.0000000, -0.7418854,302.0000000,-5.170307e-02, 3.020000e+02, -0.05684202,302.00000000,  0.08725994,302.00000000, -0.7106489,302.0000000, -0.72294367,302.00000000, -0.6348889,302.0000000, -0.08755875,302.00000000, -0.04339868,302.00000000, -0.05575418,302.00000000, -0.6716791,302.0000000, -0.7835955,302.0000000, -0.6746119,302.0000000, -0.5352818,302.0000000, -0.5528125,302.0000000, -0.5352818,302.0000000, -0.5528125,302.0000000, -0.5877774,302.0000000, -0.5121153,302.0000000, -0.61477105,302.00000000, -0.6805849,302.0000000, -0.7465595,302.0000000, -0.7400887,302.0000000, -0.5737709,302.0000000, -0.43256658,302.00000000, -0.6300812,302.0000000, -0.6197881,302.0000000, -0.46472386,302.00000000, -0.6006786,302.0000000, -0.5616820,302.0000000, -0.5089038,302.0000000, -0.7157453,302.0000000, -0.5951056,302.0000000, -0.5091475,302.0000000, -0.7670870,302.0000000, -0.6387177,302.0000000, -0.7220690,302.0000000, -0.6015949,302.0000000, -0.7345885,302.0000000, -0.72716774,302.00000000, -0.6831145,302.0000000, -0.51456986,302.00000000, -0.6466623,302.0000000, -0.5097464,302.0000000, -0.5188008,302.0000000, -0.6997429,302.0000000, -0.7253103,302.0000000, -0.7516151,302.0000000, -0.7441950,302.0000000
"20", 4,"WALKING",  0.2741831,317.0000000, -0.01480815,317.00000000, -0.10752143,317.00000000, -0.6052117,317.0000000, -0.50992938,317.00000000, -0.7094927,317.0000000,  0.7065930,317.0000000,  0.11259120,317.00000000,  0.16413090,317.00000000, -0.9626370,317.0000000, -0.9414168,317.0000000, -0.9414034,317.0000000,  0.07886378,317.00000000, 3.513409e-03, 3.170000e+02,-7.373751e-03, 3.170000e+02, -0.6318531,317.0000000, -0.5840632,317.0000000, -0.8433532,317.0000000,-2.894179e-02, 3.170000e+02, -0.07872299,317.00000000,  0.09571749,317.00000000, -0.7013977,317.0000000, -0.79823575,317.00000000, -0.7263742,317.0000000, -0.10785932,317.00000000, -0.04004276,317.00000000, -0.05780893,317.00000000, -0.7237886,317.0000000, -0.9025026,317.0000000, -0.7483691,317.0000000, -0.5615821,317.0000000, -0.6065560,317.0000000, -0.5615821,317.0000000, -0.6065560,317.0000000, -0.6561163,317.0000000, -0.6472500,317.0000000, -0.65629109,317.00000000, -0.7067385,317.0000000, -0.8191914,317.0000000, -0.8441871,317.0000000, -0.6288064,317.0000000, -0.52583457,317.00000000, -0.7552354,317.0000000, -0.5975513,317.0000000, -0.53466152,317.00000000, -0.7087640,317.0000000, -0.6520231,317.0000000, -0.6016962,317.0000000, -0.8251549,317.0000000, -0.6446220,317.0000000, -0.5938552,317.0000000, -0.8605447,317.0000000, -0.6418820,317.0000000, -0.8315275,317.0000000, -0.6893089,317.0000000, -0.7217492,317.0000000, -0.78288574,317.00000000, -0.7670896,317.0000000, -0.60209804,317.00000000, -0.6729483,317.0000000, -0.6350190,317.0000000, -0.6665067,317.0000000, -0.7456508,317.0000000, -0.7325863,317.0000000, -0.8388332,317.0000000, -0.8630969,317.0000000
"21", 9,"WALKING",  0.2703138,288.0000000, -0.02094666,288.00000000, -0.10123383,288.00000000, -0.5556565,288.0000000, -0.57588790,288.00000000, -0.5061118,288.0000000,  0.6708455,288.0000000, -0.04674470,288.00000000,  0.10435365,288.00000000, -0.9587847,288.0000000, -0.9499381,288.0000000, -0.9205543,288.0000000,  0.08401714,288.00000000, 6.784858e-03, 2.880000e+02,-1.029981e-03, 2.880000e+02, -0.5783052,288.0000000, -0.6789239,288.0000000, -0.7216101,288.0000000,-7.013182e-02, 2.880000e+02, -0.07298843,288.00000000,  0.10909291,288.00000000, -0.6764524,288.0000000, -0.67049822,288.00000000, -0.5875577,288.0000000, -0.08922549,288.00000000, -0.03973444,288.00000000, -0.05340288,288.00000000, -0.7617109,288.0000000, -0.7732739,288.0000000, -0.7446560,288.0000000, -0.5051835,288.0000000, -0.5530383,288.0000000, -0.5051835,288.0000000, -0.5530383,288.0000000, -0.6216082,288.0000000, -0.6088621,288.0000000, -0.55020187,288.00000000, -0.6631984,288.0000000, -0.7629796,288.0000000, -0.7861769,288.0000000, -0.5792584,288.0000000, -0.61026780,288.00000000, -0.5921191,288.0000000, -0.5479957,288.0000000, -0.58676608,288.00000000, -0.5010740,288.0000000, -0.6213771,288.0000000, -0.6997666,288.0000000, -0.7029319,288.0000000, -0.5728199,288.0000000, -0.6790659,288.0000000, -0.7391399,288.0000000, -0.6398632,288.0000000, -0.6839243,288.0000000, -0.6126805,288.0000000, -0.6906899,288.0000000, -0.66720322,288.00000000, -0.6194686,288.0000000, -0.55318645,288.00000000, -0.6244568,288.0000000, -0.6091937,288.0000000, -0.6116193,288.0000000, -0.7008631,288.0000000, -0.6977294,288.0000000, -0.7864740,288.0000000, -0.8012963,288.0000000
"22",10,"WALKING",  0.2768485,294.0000000, -0.01783579,294.00000000, -0.11130153,294.00000000, -0.5378077,294.0000000, -0.49740589,294.00000000, -0.6147770,294.0000000,  0.6429057,294.0000000, -0.07402485,294.00000000,  0.05520472,294.00000000, -0.9658081,294.0000000, -0.9545241,294.0000000, -0.9387064,294.0000000,  0.07981086,294.00000000, 1.291433e-02, 2.940000e+02,-1.135570e-02, 2.940000e+02, -0.5293832,294.0000000, -0.5402366,294.0000000, -0.7507293,294.0000000,-1.850237e-02, 2.940000e+02, -0.08464037,294.00000000,  0.09102650,294.00000000, -0.6739056,294.0000000, -0.59133316,294.00000000, -0.5981423,294.0000000, -0.10815083,294.00000000, -0.04242200,294.00000000, -0.05555213,294.00000000, -0.7032435,294.0000000, -0.7686418,294.0000000, -0.6868003,294.0000000, -0.5025002,294.0000000, -0.5453488,294.0000000, -0.5025002,294.0000000, -0.5453488,294.0000000, -0.5777619,294.0000000, -0.5293405,294.0000000, -0.52181980,294.00000000, -0.6244084,294.0000000, -0.7344658,294.0000000, -0.7688218,294.0000000, -0.5322895,294.0000000, -0.49465147,294.00000000, -0.6550623,294.0000000, -0.5411702,294.0000000, -0.53213517,294.00000000, -0.6258718,294.0000000, -0.5472430,294.0000000, -0.5551046,294.0000000, -0.7216897,294.0000000, -0.5534035,294.0000000, -0.5562717,294.0000000, -0.7791682,294.0000000, -0.6203792,294.0000000, -0.6483506,294.0000000, -0.5674567,294.0000000, -0.6926543,294.0000000, -0.56594368,294.00000000, -0.6459477,294.0000000, -0.51873405,294.00000000, -0.6331961,294.0000000, -0.5151408,294.0000000, -0.5530274,294.0000000, -0.6614966,294.0000000, -0.6660146,294.0000000, -0.7677801,294.0000000, -0.7871443,294.0000000
"23",12,"WALKING",  0.2736087,320.0000000, -0.01833720,320.00000000, -0.10664912,320.00000000, -0.5839622,320.0000000, -0.52204002,320.00000000, -0.6992935,320.0000000,  0.6992225,320.0000000,  0.02997678,320.00000000,  0.03302955,320.00000000, -0.9673834,320.0000000, -0.9605729,320.0000000, -0.9468086,320.0000000,  0.07043031,320.00000000, 5.311538e-03, 3.200000e+02, 3.081124e-04, 3.200000e+02, -0.5824183,320.0000000, -0.5713598,320.0000000, -0.7926219,320.0000000,-6.286635e-02, 3.200000e+02, -0.05920273,320.00000000,  0.09607421,320.00000000, -0.7278817,320.0000000, -0.73506283,320.00000000, -0.6710577,320.0000000, -0.07311344,320.00000000, -0.04367882,320.00000000, -0.05745850,320.00000000, -0.7097261,320.0000000, -0.8112326,320.0000000, -0.7493519,320.0000000, -0.5595865,320.0000000, -0.5743865,320.0000000, -0.5595865,320.0000000, -0.5743865,320.0000000, -0.6300505,320.0000000, -0.5663657,320.0000000, -0.63166806,320.00000000, -0.6848581,320.0000000, -0.7772945,320.0000000, -0.7863865,320.0000000, -0.5789202,320.0000000, -0.52328708,320.00000000, -0.7266403,320.0000000, -0.5869226,320.0000000, -0.55307664,320.00000000, -0.7099832,320.0000000, -0.5991093,320.0000000, -0.5912964,320.0000000, -0.7754266,320.0000000, -0.6029601,320.0000000, -0.5791681,320.0000000, -0.8085830,320.0000000, -0.6612468,320.0000000, -0.7447981,320.0000000, -0.6573699,320.0000000, -0.7503939,320.0000000, -0.73345673,320.00000000, -0.7082332,320.0000000, -0.55928368,320.00000000, -0.6505333,320.0000000, -0.5642392,320.0000000, -0.5716149,320.0000000, -0.7173117,320.0000000, -0.7194381,320.0000000, -0.7899029,320.0000000, -0.7973615,320.0000000
